User ID,Age,Gender,Location,Diet Type,Diet Duration (years),Reason for Diet,Dietary Transition,Favorite Cuisine,Cooking Skill,Exercise Habits,Favorite Activity,Alcohol Consumption,Smoking Habits,Education Level,Occupation,Income Level,Relationship History,Children,Pets,Travel Preference,Music Taste,Movie Preference,Reading Habits,Online Activity,App Usage Frequency,Event Attendance,Referral Source,Account Duration,Profile Completeness,Response Rate,Safety Concerns,Matched
1,48,Female,Dallas,Pescatarian,10,Ethical,Gradual,Western,9,Rarely,Reading,Socially,Regularly,Bachelor's,Entrepreneur,High,4,No,No,Adventurous,Pop,Action,14,2,Monthly,Never,Online Ad,5,54,Always,No,No
2,32,Female,Chicago,Pescatarian,12,Health,Gradual,Mediterranean,9,Rarely,Yoga,Regularly,Regularly,High School,Teacher,High,5,No,Yes,Rarely Travel,Pop,Action,9,1,Monthly,Never,Social Media,1,68,Rarely,No,Yes
3,31,Male,New York,Vegan,8,Ethical,In Phases,Indian,6,Rarely,Reading,Socially,Socially,Bachelor's,Engineer,Middle,5,Yes,No,Relaxing,Classical,Action,14,10,Weekly,Rarely,Friends,4,54,Always,Yes,Yes
4,20,Female,San Jose,Vegan,4,Environmental,In Phases,Asian,9,Daily,Music,Socially,Regularly,Bachelor's,Artist,Middle,5,No,No,Rarely Travel,Pop,Romance,11,9,Weekly,Never,Online Ad,11,67,Often,No,No
5,31,Female,Dallas,Vegetarian,3,Health,In Phases,Asian,5,Daily,Reading,Socially,Socially,High School,Entrepreneur,Low,1,No,No,Cultural,Jazz,Documentary,18,4,Weekly,Often,Social Media,3,86,Always,No,Yes
6,42,Female,Houston,Vegan,11,Health,Overnight,Mediterranean,4,Rarely,Hiking,Socially,Never,High School,Doctor,High,5,Yes,No,Relaxing,Rock,Romance,10,5,Daily,Often,Friends,22,65,Rarely,No,No
7,43,Female,San Jose,Raw Vegan,13,Environmental,In Phases,Indian,5,Weekly,Reading,Socially,Never,PhD,Artist,High,0,No,Yes,Adventurous,Pop,Documentary,10,6,Monthly,Often,Friends,12,97,Often,No,Yes
8,44,Female,San Antonio,Pescatarian,19,Religious,In Phases,Indian,8,Weekly,Reading,Socially,Regularly,Master's,Teacher,Middle,5,No,Yes,Relaxing,Jazz,Romance,4,2,Daily,Often,Online Ad,6,54,Always,No,No
9,22,Female,Phoenix,Vegetarian,19,Environmental,In Phases,Indian,7,Weekly,Hiking,Socially,Socially,Master's,Engineer,High,0,No,No,Relaxing,Jazz,Documentary,4,3,Weekly,Rarely,Online Ad,17,56,Always,No,No
10,44,Male,San Jose,Pescatarian,5,Health,In Phases,Western,9,Daily,Reading,Regularly,Regularly,Master's,Engineer,High,4,No,No,Cultural,Pop,Documentary,7,9,Daily,Never,Social Media,15,76,Often,No,No
11,45,Male,Phoenix,Vegan,3,Health,Gradual,Asian,5,Weekly,Music,Socially,Regularly,Master's,Teacher,Middle,5,No,No,Rarely Travel,Pop,Action,13,9,Daily,Never,Friends,24,55,Always,Yes,No
12,26,Female,Chicago,Pescatarian,5,Ethical,Overnight,Mediterranean,10,Weekly,Music,Never,Socially,Master's,Entrepreneur,Middle,3,No,Yes,Cultural,Rock,Action,18,8,Daily,Never,Online Ad,23,66,Rarely,No,No
13,46,Male,New York,Vegan,9,Health,In Phases,Indian,5,Weekly,Hiking,Socially,Socially,Master's,Artist,Middle,5,No,No,Rarely Travel,Jazz,Comedy,15,4,Daily,Never,Social Media,11,86,Always,No,No
14,25,Female,San Jose,Vegetarian,10,Health,Gradual,Indian,4,Rarely,Reading,Socially,Never,High School,Artist,Low,2,No,Yes,Rarely Travel,Rock,Documentary,11,4,Monthly,Often,Social Media,11,73,Always,No,No
15,43,Male,San Diego,Vegan,18,Religious,Gradual,Asian,8,Weekly,Hiking,Socially,Regularly,High School,Artist,Low,5,Yes,No,Relaxing,Rock,Comedy,15,2,Weekly,Rarely,Online Ad,12,54,Often,No,Yes
16,24,Female,New York,Vegan,5,Environmental,Overnight,Mediterranean,2,Daily,Hiking,Never,Regularly,PhD,Teacher,Low,1,No,Yes,Rarely Travel,Rock,Comedy,5,1,Daily,Never,Friends,11,60,Often,No,No
17,26,Female,Dallas,Vegetarian,16,Ethical,In Phases,Asian,3,Weekly,Music,Regularly,Socially,High School,Teacher,Low,0,Yes,Yes,Cultural,Pop,Romance,7,1,Daily,Often,Friends,5,83,Often,No,No
18,36,Female,Philadelphia,Vegan,13,Environmental,In Phases,Asian,10,Weekly,Reading,Never,Socially,High School,Doctor,High,2,Yes,No,Adventurous,Jazz,Romance,3,8,Weekly,Often,Online Ad,14,55,Always,No,Yes
19,31,Male,Dallas,Vegetarian,15,Religious,In Phases,Indian,2,Daily,Reading,Never,Never,High School,Entrepreneur,Middle,2,No,No,Cultural,Jazz,Romance,8,10,Weekly,Never,Online Ad,1,76,Always,No,No
20,34,Female,Los Angeles,Pescatarian,11,Environmental,Overnight,Western,4,Weekly,Reading,Socially,Socially,Bachelor's,Doctor,High,0,No,Yes,Rarely Travel,Jazz,Action,2,4,Daily,Never,Online Ad,1,93,Often,Yes,No
21,29,Male,San Diego,Raw Vegan,9,Environmental,Gradual,Western,6,Rarely,Reading,Regularly,Never,High School,Teacher,High,0,No,No,Rarely Travel,Jazz,Romance,19,3,Weekly,Never,Friends,4,99,Always,No,No
22,32,Male,San Diego,Raw Vegan,7,Health,Overnight,Asian,4,Rarely,Reading,Socially,Never,Bachelor's,Engineer,Low,1,Yes,Yes,Adventurous,Jazz,Romance,13,4,Weekly,Rarely,Friends,23,97,Often,No,Yes
23,49,Male,Phoenix,Raw Vegan,20,Ethical,Gradual,Asian,6,Rarely,Yoga,Socially,Socially,Master's,Doctor,Middle,0,No,No,Rarely Travel,Jazz,Action,13,6,Weekly,Rarely,Social Media,1,60,Often,No,Yes
24,24,Female,Philadelphia,Raw Vegan,17,Environmental,Gradual,Western,3,Rarely,Music,Regularly,Regularly,High School,Engineer,Middle,5,No,Yes,Rarely Travel,Pop,Action,5,3,Monthly,Rarely,Friends,7,84,Always,No,No
25,26,Male,San Jose,Vegan,10,Religious,In Phases,Mediterranean,5,Rarely,Yoga,Never,Regularly,PhD,Teacher,High,0,Yes,Yes,Rarely Travel,Pop,Action,4,4,Weekly,Often,Online Ad,1,63,Rarely,No,No
26,27,Female,Philadelphia,Pescatarian,19,Health,Gradual,Indian,2,Daily,Yoga,Socially,Socially,High School,Doctor,Low,1,No,No,Cultural,Classical,Comedy,11,6,Weekly,Rarely,Online Ad,18,86,Always,No,No
27,40,Female,New York,Vegan,3,Ethical,In Phases,Western,3,Rarely,Yoga,Never,Socially,Master's,Doctor,High,0,Yes,No,Rarely Travel,Classical,Documentary,2,4,Weekly,Never,Friends,1,64,Always,No,No
28,44,Male,Phoenix,Raw Vegan,13,Environmental,In Phases,Western,3,Rarely,Hiking,Socially,Regularly,Bachelor's,Doctor,High,0,No,No,Rarely Travel,Jazz,Action,7,9,Daily,Rarely,Friends,9,55,Rarely,No,No
29,24,Female,San Antonio,Vegan,6,Health,Overnight,Western,3,Weekly,Reading,Never,Regularly,High School,Teacher,Low,4,No,No,Rarely Travel,Classical,Documentary,10,8,Daily,Often,Friends,21,60,Rarely,No,No
30,44,Female,San Antonio,Raw Vegan,8,Environmental,In Phases,Asian,10,Daily,Reading,Never,Regularly,Bachelor's,Teacher,High,1,No,Yes,Cultural,Jazz,Action,8,6,Daily,Often,Friends,8,97,Always,No,No
31,49,Male,New York,Pescatarian,4,Religious,In Phases,Asian,1,Daily,Reading,Socially,Never,Master's,Entrepreneur,Low,5,No,Yes,Rarely Travel,Pop,Romance,4,7,Daily,Rarely,Social Media,20,67,Often,No,No
32,42,Female,Phoenix,Pescatarian,14,Ethical,Gradual,Asian,4,Weekly,Music,Regularly,Never,Master's,Artist,High,4,Yes,No,Cultural,Rock,Action,16,2,Daily,Never,Social Media,2,96,Rarely,No,No
33,46,Male,Dallas,Raw Vegan,16,Religious,In Phases,Indian,2,Weekly,Yoga,Never,Regularly,PhD,Teacher,High,1,No,No,Cultural,Jazz,Documentary,18,1,Daily,Rarely,Friends,12,95,Often,No,Yes
34,22,Male,Dallas,Vegetarian,1,Ethical,Overnight,Mediterranean,3,Rarely,Yoga,Socially,Socially,High School,Artist,Low,3,No,Yes,Rarely Travel,Jazz,Comedy,19,3,Weekly,Often,Online Ad,16,83,Often,No,Yes
35,25,Female,Phoenix,Raw Vegan,15,Health,Gradual,Asian,1,Daily,Hiking,Never,Socially,Bachelor's,Artist,Low,3,No,No,Rarely Travel,Jazz,Action,4,6,Daily,Never,Friends,11,73,Always,No,No
36,29,Female,Phoenix,Raw Vegan,19,Ethical,Gradual,Western,8,Daily,Music,Regularly,Never,Master's,Engineer,Middle,3,No,No,Adventurous,Classical,Documentary,9,6,Monthly,Rarely,Social Media,3,93,Rarely,No,Yes
37,30,Male,San Diego,Vegetarian,1,Health,Overnight,Western,8,Rarely,Music,Socially,Never,PhD,Entrepreneur,Low,0,No,Yes,Cultural,Jazz,Action,1,8,Daily,Never,Social Media,19,96,Always,No,No
38,35,Male,San Diego,Pescatarian,2,Environmental,Overnight,Indian,9,Weekly,Music,Regularly,Regularly,PhD,Teacher,Middle,0,No,Yes,Relaxing,Pop,Documentary,20,10,Daily,Never,Friends,24,82,Always,No,No
39,50,Female,New York,Vegan,15,Religious,Gradual,Asian,4,Rarely,Reading,Never,Never,Bachelor's,Teacher,High,1,No,Yes,Rarely Travel,Classical,Romance,20,9,Monthly,Never,Friends,6,59,Often,Yes,Yes
40,44,Male,Phoenix,Raw Vegan,1,Health,In Phases,Western,7,Weekly,Hiking,Socially,Never,Master's,Entrepreneur,Low,3,No,No,Rarely Travel,Jazz,Documentary,7,10,Weekly,Often,Online Ad,1,74,Always,No,No
41,42,Female,Philadelphia,Vegan,1,Ethical,Overnight,Asian,6,Rarely,Music,Socially,Regularly,PhD,Teacher,High,0,No,No,Relaxing,Pop,Documentary,20,7,Daily,Never,Friends,16,56,Rarely,No,No
42,38,Male,San Jose,Pescatarian,4,Health,Overnight,Indian,7,Weekly,Reading,Regularly,Socially,PhD,Entrepreneur,Low,4,No,Yes,Cultural,Jazz,Comedy,9,8,Monthly,Never,Friends,9,81,Rarely,No,No
43,32,Male,Chicago,Raw Vegan,5,Environmental,In Phases,Indian,2,Rarely,Yoga,Regularly,Never,High School,Artist,Low,1,No,No,Adventurous,Pop,Action,20,2,Daily,Rarely,Online Ad,21,60,Rarely,No,No
44,43,Male,San Diego,Vegetarian,19,Environmental,In Phases,Mediterranean,6,Daily,Music,Regularly,Regularly,PhD,Teacher,High,1,No,Yes,Rarely Travel,Pop,Documentary,15,8,Daily,Rarely,Friends,21,81,Always,No,No
45,48,Female,San Jose,Vegetarian,8,Health,In Phases,Indian,4,Daily,Yoga,Socially,Regularly,High School,Doctor,Low,5,No,Yes,Relaxing,Jazz,Romance,1,3,Weekly,Rarely,Friends,19,90,Rarely,Yes,No
46,33,Female,Phoenix,Raw Vegan,7,Environmental,Overnight,Asian,3,Daily,Music,Never,Regularly,High School,Doctor,Middle,3,No,Yes,Adventurous,Jazz,Action,6,9,Monthly,Often,Social Media,17,95,Always,No,No
47,47,Male,New York,Raw Vegan,5,Environmental,In Phases,Mediterranean,7,Daily,Yoga,Socially,Never,Master's,Teacher,High,2,Yes,Yes,Rarely Travel,Classical,Documentary,13,8,Monthly,Never,Friends,14,59,Always,No,No
48,23,Female,Philadelphia,Vegan,12,Religious,In Phases,Indian,8,Daily,Yoga,Regularly,Socially,PhD,Teacher,High,5,No,Yes,Rarely Travel,Jazz,Comedy,7,8,Daily,Often,Online Ad,23,54,Rarely,No,Yes
49,25,Male,Dallas,Raw Vegan,13,Ethical,Gradual,Western,8,Weekly,Yoga,Never,Never,PhD,Engineer,High,4,No,Yes,Adventurous,Pop,Comedy,5,4,Weekly,Rarely,Social Media,18,83,Always,No,No
50,39,Female,San Jose,Raw Vegan,1,Environmental,Gradual,Indian,3,Daily,Music,Never,Socially,PhD,Doctor,Low,2,No,Yes,Cultural,Rock,Action,16,2,Weekly,Never,Social Media,12,97,Rarely,No,Yes
51,39,Female,New York,Vegetarian,19,Health,Gradual,Indian,5,Daily,Reading,Regularly,Socially,High School,Entrepreneur,Middle,3,No,No,Rarely Travel,Rock,Documentary,8,4,Monthly,Rarely,Online Ad,20,72,Rarely,No,No
52,48,Male,San Diego,Pescatarian,5,Religious,Overnight,Western,1,Weekly,Hiking,Socially,Regularly,High School,Entrepreneur,High,5,No,Yes,Rarely Travel,Jazz,Documentary,2,1,Monthly,Rarely,Friends,22,66,Always,No,No
53,34,Male,Dallas,Pescatarian,20,Health,In Phases,Indian,7,Weekly,Hiking,Regularly,Socially,Bachelor's,Doctor,Middle,4,No,No,Relaxing,Jazz,Action,17,3,Weekly,Never,Friends,8,61,Rarely,No,No
54,21,Male,Dallas,Vegan,14,Health,In Phases,Western,5,Rarely,Music,Never,Socially,Master's,Engineer,Low,2,No,Yes,Adventurous,Pop,Comedy,17,2,Weekly,Rarely,Online Ad,22,50,Often,No,No
55,30,Female,Philadelphia,Pescatarian,2,Environmental,In Phases,Indian,10,Weekly,Reading,Socially,Socially,PhD,Teacher,Middle,5,No,No,Relaxing,Classical,Comedy,3,9,Monthly,Often,Friends,4,87,Often,No,No
56,22,Male,Los Angeles,Pescatarian,20,Ethical,Overnight,Indian,9,Weekly,Music,Regularly,Regularly,PhD,Entrepreneur,High,5,No,No,Relaxing,Rock,Documentary,9,7,Daily,Rarely,Online Ad,24,83,Rarely,No,Yes
57,42,Male,San Diego,Raw Vegan,2,Environmental,In Phases,Indian,5,Weekly,Hiking,Socially,Never,PhD,Artist,High,0,Yes,Yes,Relaxing,Pop,Documentary,8,4,Weekly,Often,Online Ad,22,56,Always,No,Yes
58,39,Male,Phoenix,Vegetarian,19,Health,Overnight,Mediterranean,5,Rarely,Music,Socially,Never,Master's,Engineer,Low,5,No,Yes,Adventurous,Classical,Romance,4,2,Monthly,Never,Online Ad,22,79,Rarely,No,No
59,42,Male,Dallas,Pescatarian,19,Religious,In Phases,Asian,3,Rarely,Hiking,Never,Socially,Bachelor's,Entrepreneur,Low,3,Yes,No,Cultural,Jazz,Action,16,1,Daily,Often,Friends,24,88,Always,No,No
60,49,Female,San Antonio,Vegetarian,19,Health,Overnight,Western,7,Daily,Music,Regularly,Never,PhD,Doctor,High,5,No,No,Cultural,Classical,Documentary,8,9,Daily,Never,Friends,15,62,Rarely,Yes,No
61,42,Male,Houston,Pescatarian,16,Environmental,Overnight,Western,10,Daily,Yoga,Socially,Regularly,Master's,Entrepreneur,Middle,5,No,Yes,Cultural,Jazz,Comedy,14,8,Weekly,Often,Friends,2,80,Always,No,Yes
62,40,Female,San Antonio,Raw Vegan,6,Health,Gradual,Western,4,Weekly,Hiking,Never,Socially,Bachelor's,Entrepreneur,High,5,No,Yes,Rarely Travel,Classical,Romance,6,8,Monthly,Never,Online Ad,6,52,Often,No,No
63,47,Female,Phoenix,Vegan,8,Health,Overnight,Western,6,Daily,Music,Regularly,Socially,High School,Doctor,Middle,2,No,No,Adventurous,Rock,Action,18,10,Weekly,Rarely,Social Media,22,67,Rarely,No,No
64,29,Male,Philadelphia,Vegan,8,Religious,Gradual,Indian,7,Weekly,Yoga,Socially,Socially,High School,Doctor,High,0,No,Yes,Rarely Travel,Jazz,Action,2,10,Daily,Never,Online Ad,3,64,Always,No,No
65,48,Female,Philadelphia,Vegan,2,Ethical,Overnight,Indian,9,Daily,Hiking,Socially,Never,Master's,Engineer,High,0,Yes,Yes,Relaxing,Jazz,Romance,17,1,Daily,Rarely,Online Ad,23,56,Rarely,No,No
66,47,Female,Phoenix,Raw Vegan,1,Environmental,Overnight,Mediterranean,6,Daily,Hiking,Regularly,Never,High School,Teacher,Low,0,No,No,Adventurous,Classical,Comedy,6,6,Daily,Never,Friends,17,62,Often,No,No
67,31,Female,San Diego,Vegan,9,Religious,Gradual,Asian,2,Weekly,Hiking,Socially,Regularly,High School,Doctor,Middle,2,Yes,No,Cultural,Rock,Documentary,14,1,Weekly,Often,Online Ad,22,93,Often,No,Yes
68,46,Female,Dallas,Vegan,2,Religious,Gradual,Western,1,Daily,Music,Never,Never,Master's,Doctor,High,4,Yes,Yes,Cultural,Classical,Romance,9,10,Daily,Rarely,Online Ad,18,60,Rarely,No,No
